time,open,close,high,low,volume
2021-06-23 10:00:00,2.7504,2.7441,2.7652,2.74,189.31469380000001
2021-06-23 10:30:00,2.7895,2.7799,2.7895,2.7669,1103.05332429
2021-06-23 11:00:00,2.8,2.7517,2.8,2.7517,28.48187845
2021-06-23 11:15:00,2.7431,2.7282,2.7431,2.7184,7.08865016
2021-06-23 12:30:00,2.7591,2.7394,2.7611,2.7363,1.2194368199999999
2021-06-23 13:00:00,2.7554,2.7992,2.7992,2.7554,9.94451164
2021-06-23 13:30:00,2.8052,2.7607,2.8052,2.7494,58.04029539
2021-06-23 13:45:00,2.7259,2.7112,2.7458,2.7112,43.12627911
2021-06-23 14:00:00,2.7084,2.7005,2.7084,2.6957,192.09276244999998
2021-06-23 14:15:00,2.7458,2.7543,2.7543,2.7458,621.51234499
2021-06-23 14:30:00,2.7614,2.7653,2.7653,2.7614,13.032234749999999
2021-06-23 15:00:00,2.7282,2.682,2.7434,2.672,7758.20029038
2021-06-23 15:15:00,2.6889,2.6667,2.6889,2.6521,996.32846094
2021-06-23 15:45:00,2.645,2.6364,2.6458,2.6364,0.98524391
2021-06-23 16:00:00,2.6376,2.6693,2.6704,2.6275,86.82695886
2021-06-23 16:30:00,2.6531,2.6575,2.6592,2.6447,948.1968484399999
2021-06-23 16:45:00,2.6517,2.6717,2.6742,2.6461,68.47963024
2021-06-23 17:00:00,2.6716,2.6482,2.6797,2.6458,15.2672482
2021-06-23 17:15:00,2.647,2.6237,2.65,2.6237,302.09827227
2021-06-23 17:30:00,2.6352,2.6428,2.6428,2.6352,0.49341600999999996
2021-06-23 18:00:00,2.6112,2.5968,2.6112,2.591,3005.00507221
2021-06-23 18:15:00,2.5703,2.5903,2.595,2.5665,47.68591158
2021-06-23 18:30:00,2.6009,2.6091,2.6091,2.5998,9.44686429
2021-06-23 19:00:00,2.6018,2.5957,2.6109,2.5952,18.69220801
2021-06-23 19:15:00,2.5885,2.5786,2.589,2.5786,14.08607047
2021-06-23 19:30:00,2.569,2.5783,2.5834,2.569,9.9227924
2021-06-23 19:45:00,2.5291,2.5207,2.5315,2.5207,77.70782932
2021-06-23 20:00:00,2.5391,2.5566,2.5567,2.5156,80.77160318
2021-06-23 20:15:00,2.5729,2.5584,2.5729,2.5444,15.321309379999999
2021-06-23 20:30:00,2.5591,2.5768,2.5768,2.5591,4.74703671
2021-06-23 20:45:00,2.5488,2.5338,2.5488,2.5245,114.88588526
2021-06-23 21:00:00,2.5549,2.5579,2.5632,2.5501,42.680853549999995
2021-06-23 21:15:00,2.5714,2.5466,2.6,2.5466,1461.26160647
2021-06-23 21:30:00,2.5447,2.5529,2.5584,2.537,5.603944970000001
2021-06-23 21:45:00,2.5618,2.5644,2.5644,2.5557,0.30502299
2021-06-23 22:00:00,2.5626,2.5835,2.5835,2.5577,41.99444498
2021-06-23 22:30:00,2.5838,2.5838,2.5838,2.5838,0.04204965
2021-06-23 23:15:00,2.5849,2.5913,2.5913,2.5849,13.83046663
2021-06-24 00:00:00,2.61,2.6139,2.6139,2.6066,0.16360738
2021-06-24 00:30:00,2.5904,2.5906,2.5931,2.5889,28.56171681
2021-06-24 00:45:00,2.588,2.5944,2.5944,2.588,0.046522129999999995
2021-06-24 01:30:00,2.5243,2.5077,2.5271,2.5048,5.4571681000000005
2021-06-24 01:45:00,2.5025,2.4786,2.5025,2.4786,556.04710762
2021-06-24 02:00:00,2.4966,2.4763,2.4966,2.4674,2.15444644
2021-06-24 03:00:00,2.4771,2.4914,2.4914,2.4771,14.440900860000001
2021-06-24 03:15:00,2.5003,2.5127,2.5127,2.5003,204.76617639
2021-06-24 03:30:00,2.5149,2.5308,2.5308,2.5149,4.84722526
2021-06-24 03:45:00,2.5105,2.5177,2.5177,2.4844,35.20358163
2021-06-24 04:00:00,2.5142,2.5181,2.5395,2.5142,19.77540451
2021-06-24 04:15:00,2.5212,2.512,2.5212,2.4997,5.86086047
2021-06-24 04:45:00,2.5228,2.513,2.5258,2.513,19.29117092
2021-06-24 05:00:00,2.4962,2.5201,2.5266,2.4962,5.34478984
2021-06-24 05:15:00,2.5213,2.5349,2.538,2.5213,32.9979397
2021-06-24 05:30:00,2.5383,2.5491,2.5542,2.536,19.80774846
2021-06-24 05:45:00,2.5531,2.5666,2.5812,2.5531,8331.88024154
2021-06-24 06:00:00,2.5699,2.5616,2.5763,2.5585,42.69051781
2021-06-24 06:15:00,2.5484,2.5527,2.5527,2.5484,28.62389135
2021-06-24 06:45:00,2.5722,2.5736,2.5765,2.5722,28.05594413
2021-06-24 07:15:00,2.5712,2.5941,2.5941,2.57,8107.45197382
2021-06-24 07:30:00,2.596,2.6,2.6,2.596,19.39425023
2021-06-24 07:45:00,2.5613,2.565,2.565,2.5613,6.27664417
2021-06-24 08:00:00,2.5637,2.5627,2.5637,2.5586,0.42782754
2021-06-24 08:15:00,2.6003,2.6003,2.6003,2.6003,969.21
2021-06-24 08:30:00,2.5659,2.5702,2.5702,2.5652,978.3600019500001
2021-06-24 08:45:00,2.6141,2.6146,2.6146,2.6141,13.678888769999999
2021-06-24 09:00:00,2.6148,2.6163,2.6163,2.6148,985.1421845799999
2021-06-24 11:00:00,2.631,2.6323,2.6323,2.631,27.22125108
2021-06-24 11:15:00,2.6459,2.6459,2.6459,2.6459,4.50142365
2021-06-24 11:30:00,2.6421,2.6827,2.6873,2.6421,984.41251697
2021-06-24 12:00:00,2.7084,2.7203,2.7203,2.7084,7659.79914806
2021-06-24 12:45:00,2.7184,2.7274,2.7274,2.7184,13.21930484
2021-06-24 13:00:00,2.7114,2.6853,2.7114,2.6835,32.78983115
2021-06-24 13:15:00,2.6654,2.6755,2.6824,2.6654,161.82916372
2021-06-24 13:30:00,2.6885,2.6822,2.6885,2.6812,0.38577271
2021-06-24 14:00:00,2.6825,2.6683,2.6825,2.6618,5.5437360899999995
2021-06-24 14:45:00,2.6674,2.671,2.671,2.6673,26.81681033
2021-06-24 15:00:00,2.6881,2.6881,2.6881,2.6881,4.43427688
2021-06-24 15:15:00,2.7,2.7141,2.7141,2.7,748.16631286
2021-06-24 15:45:00,2.7181,2.7181,2.7181,2.7181,1.67470616
2021-06-24 16:00:00,2.6693,2.6584,2.6796,2.6546,7674.56404975
2021-06-24 16:45:00,2.7187,2.7221,2.7342,2.7187,7432.85330158
2021-06-24 17:00:00,2.7355,2.736,2.736,2.7355,10.0
2021-06-24 17:15:00,2.734,2.7334,2.734,2.7318,19.26062232
2021-06-24 17:45:00,2.7277,2.7267,2.7277,2.7197,22.54598117
2021-06-24 18:00:00,2.7428,2.7323,2.7428,2.729,18.09274447
2021-06-24 18:15:00,2.7352,2.7352,2.7352,2.7352,0.04563086
2021-06-24 18:30:00,2.7347,2.7345,2.7365,2.7315,17.49535244
2021-06-24 18:45:00,2.7374,2.7343,2.7374,2.7315,0.42230919
2021-06-24 19:00:00,2.7377,2.7352,2.7377,2.734,8.51390939
2021-06-24 19:30:00,2.7444,2.7253,2.7449,2.7153,25.93065965
2021-06-24 19:45:00,2.714,2.7172,2.7182,2.7138,0.30438685
2021-06-24 20:00:00,2.7555,2.7644,2.7757,2.7555,173.20365146
2021-06-24 20:15:00,2.7647,2.7501,2.7647,2.7481,15.13456454
2021-06-24 20:30:00,2.7397,2.7571,2.7571,2.7285,9.65527394
2021-06-24 20:45:00,2.7479,2.7591,2.7591,2.7479,4.72705695
2021-06-24 21:00:00,2.7495,2.7225,2.7495,2.7194,31.79113899
2021-06-24 21:15:00,2.7227,2.7195,2.7231,2.7195,13.16148783
2021-06-24 21:30:00,2.7252,2.7085,2.7258,2.7079,5.35968772
2021-06-24 22:00:00,2.7119,2.7086,2.7119,2.7086,26.3485321
2021-06-24 22:15:00,2.6994,2.7032,2.7032,2.6994,4.77280997
2021-06-24 22:30:00,2.6916,2.6953,2.6967,2.6916,12.33674905
2021-06-24 22:45:00,2.694,2.6987,2.6987,2.6784,17.68764982
2021-06-24 23:00:00,2.6789,2.6781,2.6791,2.6672,60.93600606
2021-06-24 23:15:00,2.6805,2.6805,2.6805,2.6805,0.00512203
2021-06-24 23:45:00,2.6932,2.7177,2.7177,2.693,35.836277120000005
2021-06-25 00:00:00,2.7212,2.7803,2.7803,2.7212,51.82528737
2021-06-25 00:15:00,2.7645,2.7708,2.7804,2.7645,30.93611946
2021-06-25 00:30:00,2.7588,2.7576,2.7588,2.752,0.88469646
2021-06-25 00:45:00,2.7103,2.7129,2.7129,2.7103,6.19014162
2021-06-25 01:00:00,2.7154,2.68,2.7154,2.68,37.05126847
2021-06-25 01:15:00,2.6989,2.7011,2.7011,2.695,0.35950476000000003
2021-06-25 01:45:00,2.707,2.7181,2.7181,2.7038,213.53139179000001
2021-06-25 02:00:00,2.7533,2.7558,2.7558,2.7533,13.17426272
2021-06-25 02:30:00,2.7564,2.7564,2.7564,2.7564,0.00311977
2021-06-25 02:45:00,2.7393,2.7393,2.7393,2.7393,0.35904049
2021-06-25 03:00:00,2.7365,2.7225,2.7377,2.7194,19.12850247
2021-06-25 03:15:00,2.7088,2.7127,2.7127,2.7088,13.73330808
2021-06-25 03:45:00,2.7107,2.6896,2.7107,2.6896,1652.37760397
2021-06-25 04:00:00,2.68,2.6746,2.68,2.6744,0.7515303099999999
2021-06-25 04:15:00,2.653,2.6639,2.6639,2.653,5.41167171
2021-06-25 04:30:00,2.652,2.6677,2.6677,2.652,0.48201418
2021-06-25 04:45:00,2.6533,2.6585,2.6585,2.6533,1.00353365
2021-06-25 05:00:00,2.66,2.6344,2.66,2.6319,17.74035147
2021-06-25 05:15:00,2.613,2.616,2.616,2.6125,7.7058401
2021-06-25 05:30:00,2.6015,2.607,2.607,2.6015,28.13829991
2021-06-25 05:45:00,2.6233,2.6272,2.6272,2.6233,12.16613251
2021-06-25 06:15:00,2.6356,2.6361,2.6361,2.6356,13.5924
2021-06-25 06:30:00,2.6199,2.6076,2.6199,2.5896,1873.4619737
2021-06-25 07:00:00,2.5961,2.6038,2.6038,2.5759,48.55105003
2021-06-25 07:30:00,2.56,2.5519,2.56,2.5448,34.56883407
2021-06-25 08:00:00,2.5683,2.5427,2.5683,2.5427,86.56772918
2021-06-25 08:15:00,2.5384,2.5364,2.5384,2.5243,1.68984253
2021-06-25 08:45:00,2.5405,2.5623,2.5623,2.5394,18.72842263
2021-06-25 09:00:00,2.5525,2.567,2.5682,2.549,19.39382759
2021-06-25 09:15:00,2.5709,2.5586,2.5709,2.5586,33.31964051
2021-06-25 09:30:00,2.5486,2.5255,2.5486,2.5255,19.98769781
2021-06-25 09:45:00,2.5316,2.501,2.5316,2.4995,4512.90241207
2021-06-25 10:00:00,2.4873,2.4817,2.5001,2.4817,20.40267555
2021-06-25 10:15:00,2.5057,2.4742,2.5057,2.4742,3129.92530885
2021-06-25 10:30:00,2.4746,2.4646,2.4915,2.4639,89.55665735
2021-06-25 10:45:00,2.4725,2.4859,2.4859,2.4725,1.15503646
2021-06-25 11:00:00,2.4963,2.4983,2.4983,2.4928,450.73062413
2021-06-25 11:15:00,2.4383,2.4371,2.4453,2.4273,951.32352129
2021-06-25 11:30:00,2.4338,2.4608,2.4608,2.4338,1099.55106953
2021-06-25 11:45:00,2.4688,2.461,2.4693,2.4564,224.67440754
2021-06-25 12:00:00,2.4367,2.4624,2.4624,2.4232,34.685623889999995
2021-06-25 12:30:00,2.4532,2.4461,2.4532,2.4274,351.61408178
2021-06-25 12:45:00,2.4395,2.4476,2.4488,2.415,1795.26806462
2021-06-25 13:00:00,2.4463,2.427,2.4694,2.427,1556.8687770499998
2021-06-25 13:15:00,2.4081,2.4345,2.4528,2.4081,2756.57265449
2021-06-25 13:30:00,2.4345,2.4487,2.4576,2.4264,4961.01649973
2021-06-25 13:45:00,2.4503,2.4458,2.4716,2.4392,5051.5780948
2021-06-25 14:00:00,2.4452,2.4962,2.4964,2.437,3453.77819978
2021-06-25 14:15:00,2.4962,2.4785,2.4962,2.4606,4600.60376617
2021-06-25 14:30:00,2.48,2.4275,2.48,2.4237,2802.35083897
2021-06-25 14:45:00,2.4242,2.3981,2.4401,2.3897,10543.537680649999
2021-06-25 15:00:00,2.4018,2.3675,2.4029,2.35,11083.06909117
2021-06-25 15:15:00,2.3683,2.3856,2.3865,2.3683,277.40788115
2021-06-25 15:30:00,2.3946,2.419,2.419,2.3939,69.88959462
2021-06-25 15:45:00,2.4,2.4,2.4034,2.4,7635.95698437
2021-06-25 16:00:00,2.4059,2.4128,2.4314,2.4059,450.85635137
2021-06-25 16:15:00,2.4044,2.3559,2.4092,2.3544,2722.61615729
2021-06-25 16:30:00,2.3602,2.3589,2.3922,2.3589,105.50422732
2021-06-25 16:45:00,2.3892,2.3738,2.3928,2.3614,66.73792431
2021-06-25 17:00:00,2.3938,2.3897,2.3991,2.3797,31.12671693
2021-06-25 17:15:00,2.3945,2.3711,2.3945,2.3695,6.31301274
2021-06-25 17:45:00,2.3658,2.3691,2.3691,2.3658,5.31968362
2021-06-25 18:00:00,2.3248,2.3623,2.3623,2.3248,7.50469788
2021-06-25 18:15:00,2.3705,2.3705,2.3705,2.3705,5.01054696
